tag,x,y,direction
blue,-40.0497716851,-28.0184498663,0
blue,-39.7246008251,-30.4247142301,0
blue,-39.6595666531,-25.4170829866,0
blue,-39.2693616211,-33.9365595177,0
blue,-38.9441907612,-16.6374697676,0
blue,-38.8791565892,-19.8241441952,0
blue,-37.8386098373,-13.3207269959,0
blue,-37.3183364614,-36.1477213655,0
blue,-36.2777897095,-11.1745993201,0
blue,-35.5624138175,-37.7735756653,0
blue,-33.8715253457,-10.3941892562,0
blue,-33.2862177978,-39.5294983091,0
blue,-30.4247142301,-40.0497716851,0
blue,-27.9534156944,-9.80888170829,0
blue,-26.8478347705,-39.0092249332,0
blue,-25.1569462987,-9.48371084833,0
blue,-23.5961261708,-36.9281314294,0
blue,-21.2548959791,-9.54874502032,0
blue,-19.6940758512,-34.8470379256,0
blue,-17.6129823475,-9.15853998836,0
blue,-16.0521622196,-33.0260811098,0
blue,-13.9710687158,-8.11799323647,0
blue,-12.865487792,-31.40022681,0
blue,-11.4347360081,-7.01241231259,0
blue,-10.0039842243,-29.6443041662,0
blue,-8.57323244043,-5.84179721672,0
blue,-6.81730979661,-28.1485182103,0
blue,-5.9718655607,-6.36207059266,0
blue,-3.89077205693,-26.1324588786,0
blue,-3.56560119696,-7.46765151654,0
blue,-2.00478106913,-22.8807502789,0
blue,-1.61457603717,-9.22357416036,0
blue,-1.09430266123,-20.6045542591,0
blue,-0.183824253323,-11.1745993201,0
blue,-0.11879008133,-17.6129823475,0
blue,0.401483294615,-14.1011370598,0
yellow,-35.2372429576,-28.6687915863,0
yellow,-35.1071746136,-25.4821171586,0
yellow,-35.0421404416,-31.8554660139,0
yellow,-34.7169695816,-22.8807502789,0
yellow,-34.4568328937,-19.8241441952,0
yellow,-34.4568328937,-17.0927089715,0
yellow,-33.2862177978,-15.2717521557,0
yellow,-33.1561494538,-34.5218670657,0
yellow,-30.879953434,-35.5624138175,0
yellow,-28.6687915863,-34.9771062696,0
yellow,-28.0184498663,-14.4263079198,0
yellow,-26.2625272225,-33.4162861418,0
yellow,-25.0919121267,-14.3612737478,0
yellow,-23.0758527949,-31.465260982,0
yellow,-21.1248276351,-14.4913420918,0
yellow,-19.3038708193,-29.5142358222,0
yellow,-17.5479481755,-14.1661712318,0
yellow,-16.4423672516,-28.0184498663,0
yellow,-13.9710687158,-12.930521964,0
yellow,-13.8410003719,-26.8478347705,0
yellow,-11.6948726961,-25.7422538466,0
yellow,-10.6543259442,-12.0850777281,0
yellow,-9.02847164438,-24.3115020627,0
yellow,-8.11799323647,-11.0445309762,0
yellow,-6.10193390469,-11.5648043521,0
yellow,-5.9718655607,-21.3849643231,0
yellow,-5.19145549679,-19.3689049913,0
yellow,-4.47607960486,-13.7759661999,0
yellow,-4.41104543287,-16.7675381116,0
big_orange,-31.07505595,-14.4913420918,0
big_orange,-31.07505595,-9.87391588029,0
big_orange,-30.6848509181,-14.4913420918,0
big_orange,-30.6848509181,-9.87391588029,0
car_start,-31.07505595,-12.605351104,0.0
