tag,x,y,direction,x_variance,y_variance,xy_covariance
orange,-18.5370119418,-4.60521776802,0,0.01,0.01,0.0
midpoint,-38.52426680515,-25.6087737261,0,0.01,0.01,0.0
midpoint,-37.825559802499995,-29.1023087393,0,0.01,0.01,0.0
midpoint,-35.85647643145,-32.06652026565,0,0.01,0.01,0.0
midpoint,-32.9134378446,-34.0356036367,0,0.01,0.01,0.0
midpoint,-29.4199028314,-34.73431063935,0,0.01,0.01,0.0
midpoint,-25.9263678182,-34.0356036367,0,0.01,0.01,0.0
midpoint,-22.9833292313,-32.06652026565,0,0.01,0.01,0.0
midpoint,-20.167328281350002,-28.5306393735,0,0.01,0.01,0.0
midpoint,-20.1673282813,-25.6087737261,0,0.01,0.01,0.0
midpoint,-20.167328281350002,-22.6869080787,0,0.01,0.01,0.0
midpoint,-22.9833292313,-19.172200126,0,0.01,0.01,0.0
midpoint,-25.9263678182,-17.203116755,0,0.01,0.01,0.0
midpoint,-29.4199028314,-16.52558269185,0,0.01,0.01,0.0
midpoint,-32.9134378446,-17.203116755,0,0.01,0.01,0.0
midpoint,-35.85647643145,-19.172200126,0,0.01,0.01,0.0
midpoint,-37.825559802499995,-22.115238712900002,0,0.01,0.01,0.0
midpoint,-17.3513273313,-19.172200126,0,0.01,0.01,0.0
midpoint,-14.4082887444,-17.203116755,0,0.01,0.01,0.0
midpoint,-10.9147537312,-16.52558269185,0,0.01,0.01,0.0
midpoint,-7.421218718045,-17.203116755,0,0.01,0.01,0.0
midpoint,-4.478180131175,-19.172200126,0,0.01,0.01,0.0
midpoint,-2.4879238206350003,-22.115238712900002,0,0.01,0.01,0.0
midpoint,-1.789216817994,-25.6087737261,0,0.01,0.01,0.0
midpoint,-2.4879238206350003,-29.1023087393,0,0.01,0.01,0.0
midpoint,-4.478180131175,-32.06652026565,0,0.01,0.01,0.0
midpoint,-7.421218718045,-34.0356036367,0,0.01,0.01,0.0
midpoint,-10.9147537312,-34.73431063935,0,0.01,0.01,0.0
midpoint,-14.4082887444,-34.0356036367,0,0.01,0.01,0.0
midpoint,-17.3513273313,-32.06652026565,0,0.01,0.01,0.0
midpoint,-38.52426680515,-25.6087737261,0,0.01,0.01,0.0
lap_counters,-20.1461553418,-25.6087737261,0,0.01,0.01,0.0
lap_counters,-15.149341626,-15.6151462944,0,0.01,0.01,0.0
car_start,-20.1461553418,-40.0063725683,1.55842785178,0.0,0.0,0.0
