tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,5.1939501953125005,-1.601943359375,0.0,0.1,0.1,0
yellow,9.11828125,-1.131669921875,0.0,0.1,0.1,0
yellow,13.11546875,-0.685068359375,0.0,0.1,0.1,0
yellow,17.177377929687502,-0.111484375,0.0,0.1,0.1,0
yellow,21.3346435546875,0.971787109375,0.0,0.1,0.1,0
yellow,25.3476220703125,3.166728515625,0.0,0.1,0.1,0
yellow,28.18021484375,6.608515625,0.0,0.1,0.1,0
yellow,30.42958984375,10.060795898437501,0.0,0.1,0.1,0
yellow,32.428017578125,13.593203125,0.0,0.1,0.1,0
yellow,34.13208984375,17.699506835937502,0.0,0.1,0.1,0
yellow,34.7340234375,21.905009765625,0.0,0.1,0.1,0
yellow,34.684599609375,26.315029296875,0.0,0.1,0.1,0
yellow,33.36578125,30.6237353515625,0.0,0.1,0.1,0
yellow,30.9718408203125,34.2790380859375,0.0,0.1,0.1,0
yellow,28.33009765625,37.4194921875,0.0,0.1,0.1,0
yellow,25.706586914062502,40.4272900390625,0.0,0.1,0.1,0
yellow,23.32220703125,43.4428955078125,0.0,0.1,0.1,0
yellow,21.7529638671875,46.5291845703125,0.0,0.1,0.1,0
yellow,21.245048828125,49.8419677734375,0.0,0.1,0.1,0
yellow,21.95912109375,53.222666015625,0.0,0.1,0.1,0
yellow,23.622451171875,55.9837548828125,0.0,0.1,0.1,0
yellow,26.474248046875,58.62572265625,0.0,0.1,0.1,0
yellow,29.4174609375,62.065869140625004,0.0,0.1,0.1,0
yellow,31.1143408203125,66.067265625,0.0,0.1,0.1,0
yellow,32.027265625,70.33538085937501,0.0,0.1,0.1,0
yellow,31.908837890625,74.75785156250001,0.0,0.1,0.1,0
yellow,30.8703515625,78.9290234375,0.0,0.1,0.1,0
yellow,29.238671875,82.844716796875,0.0,0.1,0.1,0
yellow,27.0708935546875,86.50576171875001,0.0,0.1,0.1,0
yellow,23.9907958984375,89.74728515625,0.0,0.1,0.1,0
yellow,20.6384765625,92.168779296875,0.0,0.1,0.1,0
yellow,17.552734375,94.441953125,0.0,0.1,0.1,0
yellow,15.56791015625,96.84876953125,0.0,0.1,0.1,0
yellow,15.368212890625001,99.89673828125001,0.0,0.1,0.1,0
yellow,16.0212744140625,103.865576171875,0.0,0.1,0.1,0
yellow,15.695595703125,108.531826171875,0.0,0.1,0.1,0
yellow,13.9218994140625,112.51552734375001,0.0,0.1,0.1,0
yellow,11.902314453125,116.01806640625,0.0,0.1,0.1,0
yellow,10.192753906250001,119.36466796875,0.0,0.1,0.1,0
yellow,9.651650390625,122.48574218750001,0.0,0.1,0.1,0
yellow,10.4155078125,126.07374023437501,0.0,0.1,0.1,0
yellow,10.91673828125,130.687890625,0.0,0.1,0.1,0
yellow,9.905644531250001,134.90162109375,0.0,0.1,0.1,0
yellow,8.1596044921875,138.8683984375,0.0,0.1,0.1,0
yellow,5.495419921875,142.4142578125,0.0,0.1,0.1,0
